v1,v2,v3,c1,c2,c3,matched_v1,matched_v2,matched_v3,matched_c1,matched_c2,matched_c3,match_vScore, match_cScore,ave score
0.018073,0.0006553,0.0012719,0.83195,0.60513,0.13495,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,91.019,73.917,82.468
0.011109,0.0040474,0.0048435,0.80513,0.43798,0.22703,0.010968,0.0039977,0.0050905,0.71091,0.33518,0.16944,98.69,91.101,94.895
0.005721,0.012552,0.0017275,0.96827,0.78063,0.7565,0.0049352,0.012651,0.0024137,0.58579,0.48443,0.44103,95.341,66.445,80.893
0.010485,0.001074,0.0084413,0.82512,0.1575,0.13497,0.010819,0.001733,0.0074478,0.86526,0.11245,0.075602,94.537,95.043,94.79
0.018857,0.00011823,0.0010247,0.64822,0.51795,0.22879,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,87.255,86.368,86.811
0.0098504,0.00029958,0.00985,0.78632,0.45014,0.33386,0.0092934,0.0001145,0.010658,0.74359,0.48622,0.28466,95.549,95.667,95.608
0.0015321,0.014537,0.0039306,0.59675,0.31683,0.29279,0.0031303,0.013159,0.003711,0.56216,0.50032,0.39106,90.569,86.631,88.6
0.019721,0.00027198,6.89E-06,0.65238,0.49166,0.10146,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,84.771,80.059,82.415
0.017228,0.0018238,0.00094859,0.5511,0.3199,0.30822,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,97.439,94.558,95.999
0.016897,0.0023365,0.000766,0.85152,0.21001,0.008388,0.016183,0.0019569,0.0019424,0.58122,0.17935,0.12509,93.651,80.759,87.205
0.0092423,0.0012627,0.0094951,0.58081,0.2438,0.1624,0.010661,0.0018447,0.0075677,0.68982,0.3218,0.27121,89.153,89.936,89.544
0.019463,0.00015015,0.00038676,0.7657,0.71263,0.11877,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,85.487,71.713,78.6
0.015785,0.000434,0.003781,0.94181,0.49185,0.47912,0.014594,0.0016913,0.0037152,0.55112,0.33302,0.33036,92.283,71.847,82.065
0.015122,0.0035246,0.0013533,0.5013,0.10307,0.026837,0.015542,0.0031606,0.0012975,0.58882,0.18557,0.14619,97.517,90.076,93.796
0.0015991,0.013531,0.0048702,0.91133,0.31294,0.042603,0.0027253,0.012156,0.005176,0.98982,0.5392,0.14455,92.025,83.644,87.835
